time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-12-06T06:00:51.010Z,33.487,-116.8036667,1.91,2.95,ml,137,11,0.02545,0.22,ci,ci38387288,2019-02-16T19:52:26.040Z,"8km NE of Aguanga, CA",earthquake,0.1,0.25,0.165,206,reviewed,ci,ci
2018-12-06T03:25:25.920Z,40.0483333,-120.8096667,0.8,2.88,md,33,139,0.05798,0.15,nc,nc73119456,2018-12-07T02:05:34.619Z,"4km SE of Taylorsville, CA",earthquake,0.34,1.22,0.16,43,reviewed,nc,nc
2018-12-06T00:25:12.610Z,40.0416667,-120.7873333,2.35,2.6,md,26,115,0.07502,0.1,nc,nc73119441,2018-12-07T02:05:25.199Z,"6km SE of Taylorsville, CA",earthquake,0.31,0.83,0.135,41,reviewed,nc,nc
2018-12-05T22:10:06.190Z,35.7286667,-117.0745,1.68,3.73,mw,54,38,0.2346,0.14,ci,ci38386992,2019-02-16T19:52:25.040Z,"28km E of Trona, CA",earthquake,0.12,0.49,,6,reviewed,ci,ci
2018-12-05T21:40:16.620Z,35.7303333,-117.0776667,0.84,4.2,mw,60,34,0.2316,0.17,ci,ci38386960,2019-02-16T19:52:25.040Z,"28km E of Trona, CA",earthquake,0.13,0.61,,6,reviewed,ci,ci
2018-12-05T15:18:43.390Z,34.5196667,-119.1431667,11.67,2.73,ml,65,30,0.08268,0.34,ci,ci38386496,2018-12-08T06:06:54.846Z,"12km NE of Ojai, CA",earthquake,0.28,0.83,0.149,124,reviewed,ci,ci
2018-12-05T12:32:28.610Z,40.044,-120.8033333,2.2,2.53,md,31,84,0.0627,0.13,nc,nc73119346,2018-12-06T17:55:03.432Z,"4km SE of Taylorsville, CA",earthquake,0.32,0.58,0.165,34,reviewed,nc,nc
2018-12-05T09:01:36.850Z,37.4048333,-118.604,10.1,3.19,ml,38,73,0.06094,0.06,nc,nc73119281,2019-02-16T19:52:22.040Z,"1km SSW of Round Valley, CA",earthquake,0.28,0.75,0.202,13,reviewed,nc,nc
2018-12-04T22:06:55.200Z,33.4848333,-116.8036667,1.26,3.23,ml,126,18,0.0276,0.23,ci,ci38385480,2019-02-16T19:52:20.040Z,"7km NE of Aguanga, CA",earthquake,0.11,0.23,0.153,278,reviewed,ci,ci
2018-12-04T21:49:23.170Z,33.4845,-116.8023333,2.16,2.71,ml,109,11,0.02785,0.21,ci,ci38385432,2018-12-04T22:57:59.560Z,"7km NE of Aguanga, CA",earthquake,0.12,0.28,0.155,27,reviewed,ci,ci
